tipSampleSeparation,vDeflection,height,head-height,smoothedCapacitiveSensorHeight,capacitiveSensorHeight,smoothedMeasuredHeight,measuredHeight,seriesTime,time
2.9522718e-07,-4.09933e-11,8.31773e-06,6.5566173e-06,2.953762e-07,2.9555386e-07,2.953762e-07,2.9555386e-07,0.006875,0.006875
2.9534007e-07,1.7083236e-11,8.317577e-06,6.556497e-06,2.9527797e-07,2.9573164e-07,2.9527797e-07,2.9573164e-07,0.006925,0.006925
2.950574e-07,-3.366239e-11,8.317424e-06,6.556376e-06,2.9517975e-07,2.955005e-07,2.9517975e-07,2.955005e-07,0.006975,0.006975
2.9522232e-07,3.8851384e-11,8.317275e-06,6.5562585e-06,2.9508107e-07,2.9530497e-07,2.9508107e-07,2.9530497e-07,0.007025,0.007025
2.9504326e-07,1.6618165e-11,8.317124e-06,6.5561394e-06,2.9498284e-07,2.954472e-07,2.9498284e-07,2.954472e-07,0.007075,0.007075
2.9477073e-07,-3.1328322e-11,8.316969e-06,6.556017e-06,2.9488461e-07,2.951272e-07,2.9488461e-07,2.951272e-07,0.007125,0.007125
2.9478616e-07,6.370275e-14,8.316827e-06,6.555905e-06,2.9478593e-07,2.9489607e-07,2.9478593e-07,2.9489607e-07,0.007175,0.007175
2.946586e-07,-8.0060455e-12,8.316683e-06,6.555792e-06,2.946877e-07,2.9491386e-07,2.946877e-07,2.9491386e-07,0.007225,0.007225
2.945137e-07,-2.0844049e-11,8.316537e-06,6.5556765e-06,2.9458948e-07,2.9484272e-07,2.9458948e-07,2.9484272e-07,0.007275,0.007275
2.9456825e-07,2.130302e-11,8.316385e-06,6.555557e-06,2.944908e-07,2.948605e-07,2.944908e-07,2.948605e-07,0.007325,0.007325
2.945313e-07,3.8160648e-11,8.316237e-06,6.5554395e-06,2.9439258e-07,2.9452272e-07,2.9439258e-07,2.9452272e-07,0.007375,0.007375
2.9422372e-07,-1.9428304e-11,8.316095e-06,6.555328e-06,2.9429435e-07,2.9443385e-07,2.9429435e-07,2.9443385e-07,0.007425,0.007425
2.9420755e-07,3.2660504e-12,8.31595e-06,6.5552144e-06,2.9419567e-07,2.9443385e-07,2.9419567e-07,2.9443385e-07,0.007475,0.007475
2.9407278e-07,-6.7904705e-12,8.315799e-06,6.5550953e-06,2.9409745e-07,2.944694e-07,2.9409745e-07,2.944694e-07,0.007525,0.007525
2.9402565e-07,7.391677e-12,8.315643e-06,6.5549716e-06,2.9399877e-07,2.9443385e-07,2.9399877e-07,2.9443385e-07,0.007575,0.007575
2.9394374e-07,1.1878347e-11,8.315488e-06,6.55485e-06,2.9390054e-07,2.9423828e-07,2.9390054e-07,2.9423828e-07,0.007625,0.007625
2.9376085e-07,-1.1282009e-11,8.315339e-06,6.5547324e-06,2.9380186e-07,2.9393607e-07,2.9380186e-07,2.9393607e-07,0.007675,0.007675
2.935204e-07,-5.0407213e-11,8.3152e-06,6.554623e-06,2.9370364e-07,2.937405e-07,2.9370364e-07,2.937405e-07,0.007725,0.007725
2.934563e-07,-4.0887363e-11,8.315053e-06,6.554507e-06,2.9360496e-07,2.941494e-07,2.9360496e-07,2.941494e-07,0.007775,0.007775
