tipSampleSeparation,vDeflection,height,head-height,smoothedCapacitiveSensorHeight,capacitiveSensorHeight,smoothedMeasuredHeight,measuredHeight,seriesTime,time
4.3730637e-08,-7.497323e-10,7.984217e-06,6.2937183e-06,4.6456144e-08,4.6679983e-08,4.6456144e-08,4.6679983e-08,4.927707,0.017507004
4.4501444e-08,-8.151527e-10,7.985671e-06,6.294865e-06,4.7464773e-08,4.7828074e-08,4.7464773e-08,4.7828074e-08,4.927907,0.017707083
4.5536837e-08,-8.075401e-10,7.987075e-06,6.2959716e-06,4.8472494e-08,4.8924754e-08,4.8472494e-08,4.8924754e-08,4.9281073,0.017907163
4.638099e-08,-8.527845e-10,7.9884985e-06,6.297094e-06,4.9481123e-08,4.9740322e-08,4.9481123e-08,4.9740322e-08,4.928307,0.018107243
4.737591e-08,-8.5680574e-10,7.98993e-06,6.298222e-06,5.0490662e-08,5.0820326e-08,5.0490662e-08,5.0820326e-08,4.9285073,0.018307323
4.8258464e-08,-8.9148716e-10,7.991367e-06,6.2993545e-06,5.1499292e-08,5.171034e-08,5.1499292e-08,5.171034e-08,4.9287076,0.018507402
4.913414e-08,-9.2831e-10,7.992814e-06,6.3004954e-06,5.250883e-08,5.2684797e-08,5.250883e-08,5.2684797e-08,4.9289074,0.018707482
5.0037126e-08,-9.576205e-10,7.994278e-06,6.30165e-06,5.351837e-08,5.357035e-08,5.351837e-08,5.357035e-08,4.9291077,0.018907564
5.0920747e-08,-9.922579e-10,7.995736e-06,6.302799e-06,5.452791e-08,5.463259e-08,5.452791e-08,5.463259e-08,4.9293075,0.019107644
5.1789982e-08,-1.0308534e-09,7.997183e-06,6.3039397e-06,5.553745e-08,5.5905932e-08,5.553745e-08,5.5905932e-08,4.9295077,0.019307723
5.270011e-08,-1.0581993e-09,7.998611e-06,6.305065e-06,5.6546988e-08,5.6710387e-08,5.6546988e-08,5.6710387e-08,4.929708,0.019507803
5.367715e-08,-1.0673884e-09,8.000039e-06,6.306191e-06,5.7557436e-08,5.7881504e-08,5.7557436e-08,5.7881504e-08,4.929908,0.019707883
5.476142e-08,-1.0470826e-09,8.00147e-06,6.307319e-06,5.8567885e-08,5.8732557e-08,5.8567885e-08,5.8732557e-08,4.930108,0.019907963
5.611083e-08,-9.538406e-10,8.002886e-06,6.308435e-06,5.9578333e-08,5.996042e-08,5.9578333e-08,5.996042e-08,4.930308,0.020108044
5.7137942e-08,-9.492569e-10,8.004309e-06,6.309557e-06,6.058878e-08,6.0653754e-08,6.058878e-08,6.0653754e-08,4.930508,0.020308124
5.8032246e-08,-9.812057e-10,8.005775e-06,6.3107127e-06,6.159923e-08,6.17471e-08,6.159923e-08,6.17471e-08,4.9307084,0.020508204
5.8935782e-08,-1.0106157e-09,8.007191e-06,6.311829e-06,6.260968e-08,6.283155e-08,6.260968e-08,6.283155e-08,4.930908,0.020708283
5.990167e-08,-1.0231228e-09,8.008629e-06,6.312962e-06,6.362104e-08,6.383601e-08,6.362104e-08,6.383601e-08,4.9311085,0.020908363
6.08605e-08,-1.037323e-09,8.01005e-06,6.314082e-06,6.4631486e-08,6.4822686e-08,6.4631486e-08,6.4822686e-08,4.9313083,0.021108443
6.1822654e-08,-1.050607e-09,8.011481e-06,6.3152106e-06,6.5641935e-08,6.57027e-08,6.5641935e-08,6.57027e-08,4.9315085,0.021308523
6.276306e-08,-1.0701253e-09,8.012917e-06,6.3163416e-06,6.665329e-08,6.680494e-08,6.665329e-08,6.680494e-08,4.931709,0.021508604
6.378399e-08,-1.067491e-09,8.014335e-06,6.31746e-06,6.766465e-08,6.796939e-08,6.766465e-08,6.796939e-08,4.9319086,0.021708684
6.4809186e-08,-1.0634349e-09,8.015748e-06,6.318574e-06,6.86751e-08,6.875161e-08,6.86751e-08,6.875161e-08,4.932109,0.021908764
6.564633e-08,-1.1113573e-09,8.017192e-06,6.3197117e-06,6.968646e-08,6.964941e-08,6.968646e-08,6.964941e-08,4.9323087,0.022108844
6.646908e-08,-1.1629906e-09,8.018638e-06,6.320852e-06,7.0696906e-08,7.087608e-08,7.0696906e-08,7.087608e-08,4.932509,0.022308923
