tipSampleSeparation,vDeflection,height,smoothedMeasuredHeight,measuredHeight,seriesTime,time
-2.8217398e-08,9.186819e-10,7.86648e-06,-3.1640347e-08,-3.155709e-08,1.0367,0.1165
-2.8258107e-08,8.9935326e-10,7.866507e-06,-3.1645804e-08,-3.152753e-08,1.0377,0.1175
-2.8203964e-08,9.0189856e-10,7.866485e-06,-3.165035e-08,-3.1482642e-08,1.0387,0.1185
-2.8229607e-08,9.0719304e-10,7.866464e-06,-3.165581e-08,-3.152753e-08,1.0397,0.1195
-2.8262955e-08,9.057202e-10,7.86651e-06,-3.1661266e-08,-3.1555526e-08,1.0407,0.1205
-2.8325278e-08,8.9261193e-10,7.866578e-06,-3.1666723e-08,-3.1570195e-08,1.0417,0.1215
-2.8227067e-08,9.0153385e-10,7.866653e-06,-3.167218e-08,-3.1504417e-08,1.0427,0.1225
-2.8231831e-08,8.9313157e-10,7.866683e-06,-3.1677637e-08,-3.147864e-08,1.0437,0.1235
-2.8265857e-08,8.9068125e-10,7.866723e-06,-3.1683093e-08,-3.1503756e-08,1.0447,0.1245
-2.814794e-08,8.902278e-10,7.866739e-06,-3.168855e-08,-3.1384193e-08,1.0457,0.1255
-2.8232515e-08,8.9966806e-10,7.866773e-06,-3.1693098e-08,-3.1503085e-08,1.0467,0.1265
-2.825148e-08,8.800851e-10,7.8668245e-06,-3.1698555e-08,-3.145086e-08,1.0477,0.1275
-2.809117e-08,8.846339e-10,7.866828e-06,-3.1704012e-08,-3.1307085e-08,1.0487,0.1285
-2.8077068e-08,8.88758e-10,7.866759e-06,-3.170947e-08,-3.1307977e-08,1.0497,0.1295
-2.824913e-08,8.8421803e-10,7.8667845e-06,-3.1714926e-08,-3.1463532e-08,1.0507,0.1305
-2.8100558e-08,8.9299385e-10,7.866829e-06,-3.1720383e-08,-3.1346865e-08,1.0517,0.1315
-2.8090719e-08,8.8481805e-10,7.866838e-06,-3.172584e-08,-3.13073e-08,1.0527,0.1325
-2.8061054e-08,8.8863794e-10,7.866788e-06,-3.1730387e-08,-3.1291524e-08,1.0537,0.1335
-2.8107621e-08,8.936777e-10,7.8668045e-06,-3.1735844e-08,-3.1356414e-08,1.0547,0.1345
-2.8087344e-08,8.883134e-10,7.866851e-06,-3.17413e-08,-3.1316635e-08,1.0557,0.1355
-2.8165084e-08,8.8062285e-10,7.866912e-06,-3.1746758e-08,-3.136642e-08,1.0567,0.1365
-2.8030993e-08,8.888393e-10,7.866936e-06,-3.1752215e-08,-3.1262196e-08,1.0577,0.1375
-2.809361e-08,8.916044e-10,7.866964e-06,-3.1756763e-08,-3.1334864e-08,1.0587,0.1385
-2.8026406e-08,8.8019725e-10,7.867e-06,-3.176222e-08,-3.1226193e-08,1.0597,0.1395
-2.8145777e-08,8.809818e-10,7.86704e-06,-3.1767676e-08,-3.1348417e-08,1.0607,0.1405
-2.7948264e-08,8.9191127e-10,7.86706e-06,-3.1773133e-08,-3.1190634e-08,1.0617,0.1415
