tipSampleSeparation,vDeflection,height,smoothedMeasuredHeight,measuredHeight,seriesTime,time
-2.9901877e-08,1.0141613e-09,7.860648e-06,-3.3719452e-08,-3.3588663e-08,0.2817,0.1115
-2.9923644e-08,1.0281623e-09,7.860671e-06,-3.372127e-08,-3.366133e-08,0.2827,0.1125
-2.991827e-08,1.0271345e-09,7.860698e-06,-3.3724e-08,-3.3652217e-08,0.2837,0.1135
-2.9890185e-08,1.020923e-09,7.860722e-06,-3.372582e-08,-3.360155e-08,0.2847,0.1145
-3.0004777e-08,1.0131812e-09,7.8607245e-06,-3.3728547e-08,-3.3688e-08,0.2857,0.1155
-3.003815e-08,1.0139017e-09,7.860729e-06,-3.3730366e-08,-3.3723992e-08,0.2867,0.1165
-2.9953338e-08,1.0303876e-09,7.860748e-06,-3.3732185e-08,-3.3699113e-08,0.2877,0.1175
-3.0011588e-08,1.0113671e-09,7.860759e-06,-3.3734004e-08,-3.3688217e-08,0.2887,0.1185
-3.004462e-08,1.02661e-09,7.860777e-06,-3.3736733e-08,-3.377666e-08,0.2897,0.1195
-2.989811e-08,1.022289e-09,7.860793e-06,-3.373855e-08,-3.3614445e-08,0.2907,0.1205
-2.9996755e-08,1.0216828e-09,7.860817e-06,-3.374037e-08,-3.3710887e-08,0.2917,0.1215
-2.9956798e-08,1.0130523e-09,7.8608255e-06,-3.374219e-08,-3.363955e-08,0.2927,0.1225
-2.9983664e-08,1.0280361e-09,7.860842e-06,-3.37431e-08,-3.372089e-08,0.2937,0.1235
-2.98628e-08,1.0305964e-09,7.860872e-06,-3.3744918e-08,-3.3609332e-08,0.2947,0.1245
-2.9902733e-08,1.0277389e-09,7.860902e-06,-3.3746737e-08,-3.363888e-08,0.2957,0.1255
-2.9854718e-08,1.0227309e-09,7.860918e-06,-3.3748556e-08,-3.3572658e-08,0.2967,0.1265
-2.99806e-08,1.0349915e-09,7.860957e-06,-3.3749465e-08,-3.3743113e-08,0.2977,0.1275
-2.9894668e-08,1.0236625e-09,7.860986e-06,-3.3751284e-08,-3.3615997e-08,0.2987,0.1285
-2.9784427e-08,1.0321655e-09,7.861007e-06,-3.3753103e-08,-3.3536665e-08,0.2997,0.1295
-2.9834748e-08,1.0120254e-09,7.861027e-06,-3.3754013e-08,-3.351377e-08,0.3007,0.1305
