Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope [N]	Contact Point Offset [m]
WT_2_3um_Durchmesser-2016.10.26-13.42.28.397.jpk-force	10	1.59189e-05	2.33026e-05	-2.28329e-09	-9.10594e-06	9.10970e-06
WT_2_3um_Durchmesser-2016.10.26-13.42.33.431.jpk-force	11	1.58870e-05	2.33026e-05	2.11297e-09	-0.000487113	9.11611e-06
WT_2_3um_Durchmesser-2016.10.26-13.42.38.466.jpk-force	12	1.58551e-05	2.33026e-05	-2.68432e-09	2.19285e-05	9.13620e-06
WT_2_3um_Durchmesser-2016.10.26-13.42.43.501.jpk-force	13	1.58232e-05	2.33026e-05	-2.02635e-09	-4.59641e-05	9.14717e-06
WT_2_3um_Durchmesser-2016.10.26-13.42.48.538.jpk-force	14	1.57913e-05	2.33026e-05	-2.43049e-09	-6.13089e-06	9.15332e-06
WT_2_3um_Durchmesser-2016.10.26-13.42.53.575.jpk-force	15	1.57594e-05	2.33026e-05	-2.24399e-09	-2.86510e-05	9.16175e-06
WT_2_3um_Durchmesser-2016.10.26-13.42.58.611.jpk-force	16	1.57276e-05	2.33026e-05	-2.06334e-09	-5.32766e-05	9.16958e-06
WT_2_3um_Durchmesser-2016.10.26-13.43.03.648.jpk-force	17	1.56957e-05	2.33026e-05	-2.41666e-09	-1.79661e-05	9.17903e-06
WT_2_3um_Durchmesser-2016.10.26-13.43.08.684.jpk-force	18	1.56638e-05	2.33026e-05	-2.50097e-09	-1.20383e-05	9.18672e-06
WT_2_3um_Durchmesser-2016.10.26-13.43.13.720.jpk-force	19	1.56319e-05	2.33026e-05	-1.84944e-09	-8.51736e-05	9.19159e-06
WT_2_3um_Durchmesser-2016.10.26-13.43.18.759.jpk-force	20	1.56319e-05	2.33345e-05	-2.93800e-09	2.67157e-05	9.19618e-06
WT_2_3um_Durchmesser-2016.10.26-13.43.23.798.jpk-force	21	1.56638e-05	2.33345e-05	-2.12905e-09	-6.36582e-05	9.20198e-06
WT_2_3um_Durchmesser-2016.10.26-13.43.28.834.jpk-force	22	1.56957e-05	2.33345e-05	-2.74185e-09	-1.29395e-06	9.21039e-06
WT_2_3um_Durchmesser-2016.10.26-13.43.33.875.jpk-force	23	1.57276e-05	2.33345e-05	-3.07192e-09	3.17818e-05	9.21822e-06
WT_2_3um_Durchmesser-2016.10.26-13.43.38.912.jpk-force	24	1.57594e-05	2.33345e-05	-2.80342e-09	2.80577e-07	9.21740e-06
WT_2_3um_Durchmesser-2016.10.26-13.43.43.953.jpk-force	25	1.57913e-05	2.33345e-05	-2.69251e-09	-1.62745e-05	9.21617e-06
WT_2_3um_Durchmesser-2016.10.26-13.43.48.994.jpk-force	26	1.58232e-05	2.33345e-05	-2.64328e-09	-2.43981e-05	9.21761e-06
WT_2_3um_Durchmesser-2016.10.26-13.43.54.035.jpk-force	27	1.58551e-05	2.33345e-05	-2.29613e-09	-6.44474e-05	9.21679e-06
WT_2_3um_Durchmesser-2016.10.26-13.43.59.077.jpk-force	28	1.58870e-05	2.33345e-05	-2.99686e-09	5.71378e-06	9.21462e-06
WT_2_3um_Durchmesser-2016.10.26-13.44.04.118.jpk-force	29	1.59189e-05	2.33345e-05	-2.77637e-09	-1.86106e-05	9.21164e-06
WT_2_3um_Durchmesser-2016.10.26-13.44.09.154.jpk-force	30	1.59189e-05	2.33664e-05	-2.28388e-09	-7.46402e-05	9.21810e-06
WT_2_3um_Durchmesser-2016.10.26-13.44.14.188.jpk-force	31	1.58870e-05	2.33664e-05	-2.58213e-09	-4.63780e-05	9.22975e-06
WT_2_3um_Durchmesser-2016.10.26-13.44.19.224.jpk-force	32	1.58551e-05	2.33664e-05	-3.66275e-09	6.46745e-05	9.24177e-06
WT_2_3um_Durchmesser-2016.10.26-13.44.24.260.jpk-force	33	1.58232e-05	2.33664e-05	-2.92373e-09	-1.65262e-05	9.24627e-06
WT_2_3um_Durchmesser-2016.10.26-13.44.29.294.jpk-force	34	1.57913e-05	2.33664e-05	-4.00171e-09	9.24414e-05	9.26577e-06
WT_2_3um_Durchmesser-2016.10.26-13.44.34.332.jpk-force	35	1.57594e-05	2.33664e-05	-3.62539e-09	4.92676e-05	9.26767e-06
WT_2_3um_Durchmesser-2016.10.26-13.44.39.368.jpk-force	36	1.57276e-05	2.33664e-05	-3.54164e-09	3.71620e-05	9.27521e-06
WT_2_3um_Durchmesser-2016.10.26-13.44.44.405.jpk-force	37	1.56957e-05	2.33664e-05	-4.45460e-09	0.000129117	9.28753e-06
WT_2_3um_Durchmesser-2016.10.26-13.44.49.444.jpk-force	38	1.56638e-05	2.33664e-05	-4.58830e-09	0.000139230	9.29416e-06
WT_2_3um_Durchmesser-2016.10.26-13.44.54.480.jpk-force	39	1.56319e-05	2.33664e-05	-3.78337e-09	5.15167e-05	9.30025e-06
